iter	Passed	Remaining
0	4	918
1	6	628
2	10	663
3	13	684
4	18	713
5	22	712
6	25	716
7	29	716
8	33	701
9	36	688
10	40	693
11	44	690
12	48	692
13	52	695
14	56	695
15	60	692
16	64	691
17	68	689
18	72	687
19	75	683
20	80	684
21	84	685
22	88	684
23	92	680
24	96	678
25	101	676
26	105	674
27	109	672
28	112	663
29	115	652
30	119	648
31	122	644
32	126	641
33	129	633
34	132	624
35	135	619
36	139	615
37	143	612
38	146	604
39	149	597
40	152	590
41	155	583
42	158	577
43	160	569
44	162	558
45	163	548
46	165	538
47	166	528
48	168	519
49	170	512
50	173	506
51	175	500
52	179	498
53	181	490
54	183	482
55	184	474
56	186	467
57	189	463
58	192	460
59	195	456
60	198	451
61	200	446
62	203	441
63	205	436
64	208	433
65	211	430
66	214	424
67	216	419
68	219	416
69	222	413
70	226	410
71	229	407
72	231	402
73	232	396
74	234	390
75	236	385
76	238	381
77	241	378
78	245	375
79	248	372
80	250	368
81	252	364
82	256	361
83	260	359
84	262	354
85	263	349
86	265	344
87	266	339
88	269	336
89	273	333
90	276	331
91	278	326
92	280	322
93	282	318
94	283	313
95	286	310
96	290	307
97	293	305
98	295	301
99	298	298
100	301	295
101	303	291
102	305	287
103	306	283
104	308	279
105	309	274
106	311	270
107	312	266
108	314	262
109	315	258
110	317	254
111	318	250
112	320	246
113	321	242
114	323	238
115	324	235
116	326	231
117	328	227
118	329	224
119	330	220
120	332	217
121	333	213
122	335	209
123	336	206
124	338	202
125	339	199
126	341	196
127	343	193
128	344	189
129	346	186
130	347	183
131	348	179
132	350	176
133	351	173
134	353	170
135	354	166
136	356	163
137	357	160
138	359	157
139	360	154
140	362	151
141	363	148
142	365	145
143	366	142
144	368	139
145	369	136
146	371	133
147	372	130
148	374	128
149	375	125
150	377	122
151	378	119
152	380	116
153	381	113
154	383	111
155	384	108
156	386	105
157	388	103
158	389	100
159	391	97
160	392	95
161	394	92
162	395	89
163	396	87
164	398	84
165	399	81
166	401	79
167	403	76
168	404	74
169	406	71
170	407	69
171	409	66
172	410	64
173	412	61
174	413	59
175	414	56
176	416	54
177	417	51
178	419	49
179	420	46
180	422	44
181	423	41
182	425	39
183	426	37
184	428	34
185	429	32
186	431	29
187	432	27
188	434	25
189	435	22
190	437	20
191	438	18
192	440	15
193	441	13
194	443	11
195	444	9
196	446	6
197	447	4
198	448	2
199	450	0
